,precision,recall,f1-score,support
A1,0.8889,0.8,0.8421,20.0
A2,0.6,0.75,0.6667,20.0
B1,0.5238,0.55,0.5366,20.0
B2,0.6316,0.6,0.6154,20.0
C1,0.6471,0.55,0.5946,20.0
C2,0.7,0.7,0.7,20.0
accuracy,0.6583,0.6583,0.6583,0.6583
macro avg,0.6652,0.6583,0.6592,120.0
weighted avg,0.6652,0.6583,0.6592,120.0
within1_accuracy,0.9917,0.9917,0.9917,0.9917
