,precision,recall,f1-score,support
A1,0.7596,0.8061,0.7822,98.0
A2,0.686,0.6211,0.6519,95.0
B1,0.5952,0.6173,0.6061,81.0
B2,0.5327,0.5876,0.5588,97.0
C1,0.5529,0.5341,0.5434,88.0
C2,0.7297,0.6667,0.6968,81.0
accuracy,0.6407,0.6407,0.6407,0.6407
macro avg,0.6427,0.6388,0.6399,540.0
weighted avg,0.6431,0.6407,0.641,540.0
within1_accuracy,0.9463,0.9463,0.9463,0.9463
