,precision,recall,f1-score,support
A1,0.7419,0.7931,0.7667,58.0
A2,0.6269,0.7778,0.6942,54.0
B1,0.5,0.3415,0.4058,41.0
B2,0.5862,0.5965,0.5913,57.0
C1,0.5745,0.5625,0.5684,48.0
C2,0.8056,0.725,0.7632,40.0
accuracy,0.6443,0.6443,0.6443,0.6443
macro avg,0.6392,0.6327,0.6316,298.0
weighted avg,0.6396,0.6443,0.6379,298.0
within1_accuracy,0.9362,0.9362,0.9362,0.9362
